Banks_Participated,Highest_Rate,Lowest_Rate,Weighted_Average_Rate,Market_Day
,55.1996,55.1988,55.1992,2023-09-22
,55.1952,55.1944,55.1948,2023-09-21
,55.1847,55.1839,55.1843,2023-09-20
,55.1797,55.1789,55.1793,2023-09-19
,55.1713,55.1707,55.171,2023-09-18
,55.1669,55.1662,55.1666,2023-09-15
,55.1439,55.1431,55.1435,2023-09-11
,55.1395,55.1387,55.1391,2023-09-08
,55.1306,55.1298,55.1302,2023-09-07
,55.1262,55.1254,55.1258,2023-09-06
,55.1169,55.1161,55.1165,2023-09-05
,55.1086,55.1078,55.1082,2023-09-04
,55.1036,55.1028,55.1032,2023-09-01
,55.0948,55.0941,55.0944,2023-08-31
,55.0772,55.0764,55.0768,2023-08-30
,55.0651,55.0643,55.0647,2023-08-29
,55.0463,55.0456,55.046,2023-08-28
,55.0189,55.0181,55.0185,2023-08-24
,54.9903,54.9895,54.9899,2023-08-23
,54.9793,54.9785,54.9789,2023-08-21
,54.9617,54.9609,54.9613,2023-08-18
,54.9309,54.9301,54.9305,2023-08-16
,54.9205,54.9197,54.9201,2023-08-15
,54.9024,54.9017,54.902,2023-08-14
,54.8903,54.8895,54.8899,2023-08-11
,54.8716,54.8708,54.8712,2023-08-10
,54.8431,54.8423,54.8427,2023-08-08
,54.8332,54.8324,54.8328,2023-08-07
,54.8151,54.8143,54.8147,2023-08-04
,54.8058,54.8051,54.8054,2023-08-03
,54.7883,54.7875,54.7879,2023-08-02
9,54.7521,54.7513,54.7517,2023-07-28
9,54.7472,54.7464,54.7468,2023-07-27
9,54.7374,54.7366,54.7370,2023-07-26
9,54.7324,54.7316,54.7320,2023-07-25
9,54.7204,54.7196,54.7200,2023-07-24
9,54.7149,54.7141,54.7145,2023-07-21
9,54.7051,54.7043,54.7047,2023-07-20
9,54.7002,54.6994,54.6998,2023-07-19
9,54.6898,54.6891,54.6894,2023-07-18
9,54.6838,54.6831,54.6834,2023-07-17
9,54.6739,54.6731,54.6735,2023-07-14
9,54.6684,54.6677,54.6680,2023-07-13
9,54.6586,54.6578,54.6582,2023-07-12
9,54.6537,54.6529,54.6533,2023-07-11
9,54.6422,54.6414,54.6418,2023-07-10
9,54.6373,54.6365,54.6369,2023-07-07
9,54.6275,54.6267,54.6271,2023-07-06
9,54.6209,54.6201,54.6205,2023-07-05
9,54.6105,54.6097,54.6101,2023-07-04
9,54.6056,54.6048,54.6052,2023-07-03
9,54.5947,54.5939,54.5943,2023-06-30
9,54.5777,54.5769,54.5773,2023-06-29
9,54.5674,54.5667,54.5670,2023-06-27
9,54.5509,54.5502,54.5506,2023-06-26
9,54.5396,54.5388,54.5392,2023-06-23
9,54.5227,54.5219,54.5223,2023-06-22
9,54.5118,54.5111,54.5114,2023-06-21
9,54.4959,54.4952,54.4956,2023-06-20
9,54.4856,54.4848,54.4852,2023-06-19
9,54.4687,54.4679,54.4683,2023-06-16
9,54.442,54.4412,54.4416,2023-06-15
9,54.442,54.4412,54.4416,2023-06-14
9,54.4306,54.4298,54.4302,2023-06-13
9,54.4137,54.4129,54.4133,2023-06-12
9,54.4029,54.4021,54.4025,2023-06-09
9,54.3865,54.3857,54.3861,2023-06-08
9,54.3752,54.3743,54.3747,2023-06-07
9,54.3583,54.3575,54.3579,2023-06-06
9,54.3479,54.3471,54.3475,2023-06-05
9,54.3316,54.3308,54.3312,2023-06-02
9,54.3208,54.3201,54.3204,2023-06-01
9,54.3045,54.3037,54.3041,2023-05-31
9,54.2839,54.2831,54.2835,2023-05-26
9,54.2806,54.2798,54.2802,2023-05-25
9,54.2719,54.2711,54.2715,2023-05-24
9,54.2589,54.2581,54.2585,2023-05-23
9,54.2589,54.2581,54.2585,2023-05-22
9,54.2551,54.2543,54.2547,2023-05-19
9,54.2459,54.2451,54.2455,2023-05-18
9,54.241,54.2402,54.2406,2023-05-17
9,54.2334,54.2327,54.2330,2023-05-16
9,54.2301,54.2293,54.2297,2023-05-15
9,54.2215,54.2207,54.2211,2023-05-12
9,54.2171,54.2163,54.2167,2023-05-11
9,54.2089,54.2082,54.2086,2023-05-10
9,54.2052,54.2044,54.2048,2023-05-09
9,54.1971,54.1963,54.1967,2023-05-08
9,54.1934,54.1925,54.1929,2023-05-04
9,54.1841,54.1833,54.1837,2023-05-03
9,54.1797,54.1789,54.1793,2023-05-02
9,54.1418,54.1411,54.1414,2023-04-26
9,54.1245,54.1237,54.1241,2023-04-25
9,54.1136,54.1129,54.1133,2023-04-24
9,54.0856,54.0848,54.0852,2023-04-20
9,54.0683,54.0675,54.0679,2023-04-19
9,54.0579,54.0572,54.0576,2023-04-18
9,54.0299,54.0291,54.0295,2023-04-13
9,54.0121,54.0113,54.0117,2023-04-12
9,54.0023,54.0015,54.0019,2023-04-11
9,53.9851,53.9843,53.9847,2023-04-10
9,53.9748,53.9741,53.9744,2023-04-07
9,53.9569,53.9562,53.9566,2023-04-06
9,53.9473,53.9465,53.9469,2023-04-05
9,53.9306,53.9298,53.9302,2023-04-04
9,53.9193,53.9185,53.9189,2023-04-03
9,53.9031,53.9023,53.9027,2023-03-31
9,53.8982,53.8974,53.8978,2023-03-30
9,53.8891,53.8883,53.8887,2023-03-29
9,53.8837,53.8829,53.8833,2023-03-28
9,53.8756,53.8748,53.8752,2023-03-27
9,53.8708,53.8701,53.8704,2023-03-24
