"karat","purity_level","price_usd","price_birr","time"
"24","99.96","58.7543","3177.6015","2022/05/20"
"23","95.73","56.3062","3045.2014","2022/05/20"
"22","91.39","53.8581","2912.8013","2022/05/20"
"21","86.84","51.4100","2780.4013","2022/05/20"
"20","82.08","48.9619","2648.0012","2022/05/20"
"19","77.08","46.5138","2515.6011","2022/05/20"
"18","71.81","44.0657","2383.2011","2022/05/20"
"17","66.26","41.6176","2250.8010","2022/05/20"
"16","60.38","39.1695","2118.4010","2022/05/20"
"15","54.13","36.7214","1986.0009","2022/05/20"
"14","47.46","34.2733","1853.6008","2022/05/20"
"24","99.96","35.8105","500.6126","2010/02/03"
"23","95.73","34.3184","479.7538","2010/02/03"
"22","91.39","32.8263","458.8949","2010/02/03"
"21","86.84","31.3342","438.036","2010/02/03"
"20","82.08","29.8421","417.1772","2010/02/03"
"19","77.08","28.35","396.3183","2010/02/03"
"18","71.81","26.8579","375.4595","2010/02/03"
"17","66.26","25.3658","354.6006","2010/02/03"
"16","60.38","23.8737","333.7417","2010/02/03"
"15","54.13","22.3816","312.8829","2010/02/03"
"14","47.46","20.8895","292.024","2010/02/03"
"24","99.96","35.9535751","502.695696","2010/02/04"
"23","95.73","34.4555094","481.750042","2010/02/04"
"22","91.39","32.9574438","460.804388","2010/02/04"
"21","86.84","31.4593782","439.858734","2010/02/04"
"20","82.08","29.9613125","418.913080","2010/02/04"
"19","77.08","28.4632469","397.967426","2010/02/04"
"18","71.81","26.9651813","377.021772","2010/02/04"
"17","66.26","25.4671156","356.076118","2010/02/04"
"16","60.38","23.9690500","335.130464","2010/02/04"
"15","54.13","22.4709844","314.184810","2010/02/04"
"14","47.46","20.9729188","293.239156","2010/02/04"
"24","99.96","33.9232896","474.458252","2010/02/08"
"23","95.73","32.5098192","454.689158","2010/02/08"
"22","91.39","31.0963488","434.920064","2010/02/08"
"21","86.84","29.6828784","415.150970","2010/02/08"
"20","82.08","28.2694080","395.381876","2010/02/08"
"19","77.08","26.8559376","375.612783","2010/02/08"
"18","71.81","25.4424672","355.843689","2010/02/08"
"17","66.26","24.0289968","336.074595","2010/02/08"
"16","60.38","22.6155264","316.305501","2010/02/08"
"15","54.13","21.2020560","296.536407","2010/02/08"
"14","47.46","19.7885856","276.767313","2010/02/08"
"24","99.96","34.3798225","480.922835","2010/02/09"
"23","95.73","32.9473299","460.884383","2010/02/09"
"22","91.39","31.5148373","440.845932","2010/02/09"
"21","86.84","30.0823447","420.807480","2010/02/09"
"20","82.08","28.6498521","400.769029","2010/02/09"
"19","77.08","27.2173595","380.730577","2010/02/09"
"18","71.81","25.7848668","360.692126","2010/02/09"
"17","66.26","24.3523742","340.653674","2010/02/09"
"16","60.38","22.9198816","320.615223","2010/02/09"
"15","54.13","21.4873890","300.576771","2010/02/09"
"14","47.46","20.0548964","280.538320","2010/02/09"
"24","99.96","34.3332047","480.346425","2010/02/11"
"23","95.73","32.9026545","460.331991","2010/02/11"
"22","91.39","31.4721043","440.317556","2010/02/11"
"21","86.84","30.0415541","420.303122","2010/02/11"
"20","82.08","28.6110039","400.288688","2010/02/11"
"19","77.08","27.1804537","380.274253","2010/02/11"
"18","71.81","25.7499035","360.259819","2010/02/11"
"17","66.26","24.3193533","340.245384","2010/02/11"
"16","60.38","22.8888031","320.230950","2010/02/11"
"15","54.13","21.4582529","300.216516","2010/02/11"
"14","47.46","20.0277027","280.202081","2010/02/11"
"24","99.96","34.5823688","483.988551","2010/02/12"
"23","95.73","33.1414367","463.822361","2010/02/12"
"22","91.39","31.7005047","443.656172","2010/02/12"
"21","86.84","30.2595727","423.489982","2010/02/12"
"20","82.08","28.8186406","403.323792","2010/02/12"
"19","77.08","27.3777086","383.157603","2010/02/12"
"18","71.81","25.9367766","362.991413","2010/02/12"
"17","66.26","24.4958445","342.825223","2010/02/12"
"16","60.38","23.0549125","322.659034","2010/02/12"
"15","54.13","21.6139805","302.492844","2010/02/12"
"14","47.46","20.1730484","282.326655","2010/02/12"
"24","99.96","34.7495498","486.404913","2010/02/15"
"23","95.73","33.3016519","466.138042","2010/02/15"
"22","91.39","31.8537540","445.871170","2010/02/15"
"21","86.84","30.4058561","425.604299","2010/02/15"
"20","82.08","28.9579582","405.337427","2010/02/15"
"19","77.08","27.5100603","385.070556","2010/02/15"
"18","71.81","26.0621624","364.803685","2010/02/15"
"17","66.26","24.6142645","344.536813","2010/02/15"
"16","60.38","23.1663665","324.269942","2010/02/15"
"15","54.13","21.7184686","304.003070","2010/02/15"
"14","47.46","20.2705707","283.736199","2010/02/15"
"24","99.96","35.3411136","494.763222","2010/02/17"
"23","95.73","33.8685672","474.148087","2010/02/17"
"22","91.39","32.3960208","453.532953","2010/02/17"
"21","86.84","30.9234744","432.917819","2010/02/17"
"20","82.08","29.4509280","412.302685","2010/02/17"
"19","77.08","27.9783816","391.687550","2010/02/17"
"18","71.81","26.5058352","371.072416","2010/02/17"
"17","66.26","25.0332888","350.457282","2010/02/17"
"16","60.38","23.5607424","329.842148","2010/02/17"
"15","54.13","22.0881960","309.227013","2010/02/17"
"14","47.46","20.6156496","288.611879","2010/02/17"
"24","99.96","35.8056841","501.349757","2010/02/17"
"23","95.73","34.3137806","480.460184","2010/02/17"
"22","91.39","32.8218771","459.570610","2010/02/17"
"21","86.84","31.3299736","438.681037","2010/02/17"
"20","82.08","29.8380701","417.791464","2010/02/17"
"19","77.08","28.3461666","396.901891","2010/02/17"
"18","71.81","26.8542631","376.012317","2010/02/17"
"17","66.26","25.3623596","355.122744","2010/02/17"
"16","60.38","23.8704561","334.233171","2010/02/17"
"15","54.13","22.3785525","313.343598","2010/02/17"
"14","47.46","20.8866490","292.454025","2010/02/17"
"24","99.96","35.8860596","502.554300","2010/02/19"
"23","95.73","34.3908071","481.614538","2010/02/19"
"22","91.39","32.8955546","460.674775","2010/02/19"
"21","86.84","31.4003022","439.735013","2010/02/19"
"20","82.08","29.9050497","418.795250","2010/02/19"
"19","77.08","28.4097972","397.855488","2010/02/19"
"18","71.81","26.9145447","376.915725","2010/02/19"
"17","66.26","25.4192922","355.975963","2010/02/19"
"16","60.38","23.9240397","335.036200","2010/02/19"
"15","54.13","22.4287872","314.096438","2010/02/19"
"14","47.46","20.9335348","293.156675","2010/02/19"
"24","99.96","35.5324074","497.680045","2010/02/22"
"23","95.73","34.0518904","476.943376","2010/02/22"
"22","91.39","32.5713734","456.206708","2010/02/22"
"21","86.84","31.0908564","435.470039","2010/02/22"
"20","82.08","29.6103395","414.733370","2010/02/22"
"19","77.08","28.1298225","393.996702","2010/02/22"
"18","71.81","26.6493055","373.260033","2010/02/22"
"17","66.26","25.1687885","352.523365","2010/02/22"
"16","60.38","23.6882716","331.786696","2010/02/22"
"15","54.13","22.2077546","311.050028","2010/02/22"
"14","47.46","20.7272376","290.313359","2010/02/22"
"24","99.96","36.0339506","504.867538","2010/02/25"
"23","95.73","34.5325360","483.831390","2010/02/25"
"22","91.39","33.0311213","462.795243","2010/02/25"
"21","86.84","31.5297067","441.759095","2010/02/25"
"20","82.08","30.0282921","420.722948","2010/02/25"
"19","77.08","28.5268775","399.686801","2010/02/25"
"18","71.81","27.0254629","378.650653","2010/02/25"
"17","66.26","25.5240483","357.614506","2010/02/25"
"16","60.38","24.0226337","336.578358","2010/02/25"
"15","54.13","22.5212191","315.542211","2010/02/25"
"14","47.46","21.0198045","294.506063","2010/02/25"
"24","99.96","35.0710519","491.534821","2010/03/02"
"23","95.73","33.6097581","471.054204","2010/03/02"
"22","91.39","32.1484642","450.573586","2010/03/02"
"21","86.84","30.6871704","430.092968","2010/03/02"
"20","82.08","29.2258766","409.612351","2010/03/02"
"19","77.08","27.7645827","389.131733","2010/03/02"
"18","71.81","26.3032889","368.651116","2010/03/02"
"17","66.26","24.8419951","348.170498","2010/03/02"
"16","60.38","23.3807013","327.689881","2010/03/02"
"15","54.13","21.9194074","307.209263","2010/03/02"
"14","47.46","20.4581136","286.728645","2010/03/02"
"24","99.96","35.8764146","502.991817","2010/03/03"
"23","95.73","34.3815640","482.033824","2010/03/03"
"22","91.39","32.8867133","461.075832","2010/03/03"
"21","86.84","31.3918627","440.117840","2010/03/03"
"20","82.08","29.8970121","419.159847","2010/03/03"
"19","77.08","28.4021615","398.201855","2010/03/03"
"18","71.81","26.9073109","377.243863","2010/03/03"
"17","66.26","25.4124603","356.285870","2010/03/03"
"16","60.38","23.9176097","335.327878","2010/03/03"
"15","54.13","22.4227591","314.369885","2010/03/03"
"14","47.46","20.9279085","293.411893","2010/03/03"
"24","99.96","36.5933641","513.135755","2010/03/04"
"23","95.73","35.0686406","491.755099","2010/03/04"
"22","91.39","33.5439171","470.374442","2010/03/04"
"21","86.84","32.0191936","448.993786","2010/03/04"
"20","82.08","30.4944701","427.613129","2010/03/04"
"19","77.08","28.9697466","406.232473","2010/03/04"
"18","71.81","27.4450231","384.851816","2010/03/04"
"17","66.26","25.9202996","363.471160","2010/03/04"
"16","60.38","24.3955761","342.090503","2010/03/04"
"15","54.13","22.8708526","320.709847","2010/03/04"
"14","47.46","21.3461291","299.329190","2010/03/04"
"24","99.96","36.6592721","514.152340","2010/03/05"
"23","95.73","35.1318024","492.729326","2010/03/05"
"22","91.39","33.6043327","471.306311","2010/03/05"
"21","86.84","32.0768631","449.883297","2010/03/05"
"20","82.08","30.5493934","428.460283","2010/03/05"
"19","77.08","29.0219237","407.037269","2010/03/05"
"18","71.81","27.4944540","385.614255","2010/03/05"
"17","66.26","25.9669844","364.191241","2010/03/05"
"16","60.38","24.4395147","342.768226","2010/03/05"
"15","54.13","22.9120450","321.345212","2010/03/05"
"14","47.46","21.3845754","299.922198","2010/03/05"
"24","99.96","36.4583333","511.426015","2010/03/08"
"23","95.73","34.9392361","490.116598","2010/03/08"
"22","91.39","33.4201388","468.807180","2010/03/08"
"21","86.84","31.9010416","447.497763","2010/03/08"
"20","82.08","30.3819444","426.188346","2010/03/08"
"19","77.08","28.8628472","404.878929","2010/03/08"
"18","71.81","27.34375","383.569511","2010/03/08"
"17","66.26","25.8246527","362.260094","2010/03/08"
"16","60.38","24.3055555","340.950677","2010/03/08"
"15","54.13","22.7864583","319.641259","2010/03/08"
"14","47.46","21.2673611","298.331842","2010/03/08"
"24","99.96","36.4181455","510.954048","2010/03/09"
"23","95.73","34.9007228","489.664296","2010/03/09"
"22","91.39","33.3833001","468.374544","2010/03/09"
"21","86.84","31.8658773","447.084792","2010/03/09"
"20","82.08","30.3484546","425.795040","2010/03/09"
"19","77.08","28.8310319","404.505288","2010/03/09"
"18","71.81","27.3136091","383.215536","2010/03/09"
"17","66.26","25.7961864","361.925784","2010/03/09"
"16","60.38","24.2787637","340.636032","2010/03/09"
"15","54.13","22.7613409","319.346280","2010/03/09"
"14","47.46","21.2439182","298.056528","2010/03/09"
"24","99.96","35.8957047","503.714553","2010/03/10"
"23","95.73","34.4000503","482.726446","2010/03/10"
"22","91.39","32.9043960","461.738340","2010/03/10"
"21","86.84","31.4087416","440.750234","2010/03/10"
"20","82.08","29.9130872","419.762127","2010/03/10"
"19","77.08","28.4174329","398.774021","2010/03/10"
"18","71.81","26.9217785","377.785914","2010/03/10"
"17","66.26","25.4261241","356.797808","2010/03/10"
"16","60.38","23.9304698","335.809702","2010/03/10"
"15","54.13","22.4348154","314.821595","2010/03/10"
"14","47.46","20.9391610","293.833489","2010/03/10"
"24","99.96","36.2252443","508.430179","2010/03/11"
"23","95.73","34.7158591","487.245588","2010/03/11"
"22","91.39","33.2064739","466.060997","2010/03/11"
"21","86.84","31.6970887","444.876407","2010/03/11"
"20","82.08","30.1877036","423.691816","2010/03/11"
"19","77.08","28.6783184","402.507225","2010/03/11"
"18","71.81","27.1689332","381.322634","2010/03/11"
"17","66.26","25.6595480","360.138043","2010/03/11"
"16","60.38","24.1501628","338.953453","2010/03/11"
"15","54.13","22.6407777","317.768862","2010/03/11"
"14","47.46","21.1313925","296.584271","2010/03/11"
"24","99.96","35.5902777","499.607955","2010/03/12"
"23","95.73","34.1073495","478.790957","2010/03/12"
"22","91.39","32.6244212","457.973959","2010/03/12"
"21","86.84","31.1414930","437.156961","2010/03/12"
"20","82.08","29.6585648","416.339963","2010/03/12"
"19","77.08","28.1756365","395.522964","2010/03/12"
"18","71.81","26.6927083","374.705966","2010/03/12"
"17","66.26","25.2097800","353.888968","2010/03/12"
"16","60.38","23.7268518","333.071970","2010/03/12"
"15","54.13","22.2439236","312.254972","2010/03/12"
"14","47.46","20.7609953","291.437974","2010/03/12"
"24","99.96","35.5902777","499.607955","2010/03/12"
"23","95.73","34.1073495","478.790957","2010/03/12"
"22","91.39","32.6244212","457.973959","2010/03/12"
"21","86.84","31.1414930","437.156961","2010/03/12"
"20","82.08","29.6585648","416.339963","2010/03/12"
"19","77.08","28.1756365","395.522964","2010/03/12"
"18","71.81","26.6927083","374.705966","2010/03/12"
"17","66.26","25.2097800","353.888968","2010/03/12"
"16","60.38","23.7268518","333.071970","2010/03/12"
"15","54.13","22.2439236","312.254972","2010/03/12"
"14","47.46","20.7609953","291.437974","2010/03/12"
"24","99.96","35.6176054","500.174827","2010/03/16"
"23","95.73","34.1335385","479.334209","2010/03/16"
"22","91.39","32.6494716","458.493592","2010/03/16"
"21","86.84","31.1654047","437.652974","2010/03/16"
"20","82.08","29.6813378","416.812356","2010/03/16"
"19","77.08","28.1972709","395.971738","2010/03/16"
"18","71.81","26.7132040","375.131120","2010/03/16"
"17","66.26","25.2291371","354.290503","2010/03/16"
"16","60.38","23.7450703","333.449885","2010/03/16"
"15","54.13","22.2610034","312.609267","2010/03/16"
"14","47.46","20.7769365","291.768649","2010/03/16"
"24","99.96","35.6176054","500.174827","2010/03/17"
"23","95.73","34.1335385","479.334209","2010/03/17"
"22","91.39","32.6494716","458.493592","2010/03/17"
"21","86.84","31.1654047","437.652974","2010/03/17"
"20","82.08","29.6813378","416.812356","2010/03/17"
"19","77.08","28.1972709","395.971738","2010/03/17"
"18","71.81","26.7132040","375.131120","2010/03/17"
"17","66.26","25.2291371","354.290503","2010/03/17"
"16","60.38","23.7450703","333.449885","2010/03/17"
"15","54.13","22.2610034","312.609267","2010/03/17"
"14","47.46","20.7769365","291.768649","2010/03/17"
"24","99.96","36.3168724","510.177608","2010/03/18"
"23","95.73","34.8036694","488.920207","2010/03/18"
"22","91.39","33.2904663","467.662807","2010/03/18"
"21","86.84","31.7772633","446.405407","2010/03/18"
"20","82.08","30.2640603","425.148006","2010/03/18"
"19","77.08","28.7508573","403.890606","2010/03/18"
"18","71.81","27.2376543","382.633206","2010/03/18"
"17","66.26","25.7244513","361.375805","2010/03/18"
"16","60.38","24.2112482","340.118405","2010/03/18"
"15","54.13","22.6980452","318.861005","2010/03/18"
"14","47.46","21.1848422","297.603604","2010/03/18"
"24","99.96","36.3168724","510.177608","2010/03/18"
"23","95.73","34.8036694","488.920207","2010/03/18"
"22","91.39","33.2904663","467.662807","2010/03/18"
"21","86.84","31.7772633","446.405407","2010/03/18"
"20","82.08","30.2640603","425.148006","2010/03/18"
"19","77.08","28.7508573","403.890606","2010/03/18"
"18","71.81","27.2376543","382.633206","2010/03/18"
"17","66.26","25.7244513","361.375805","2010/03/18"
"16","60.38","24.2112482","340.118405","2010/03/18"
"15","54.13","22.6980452","318.861005","2010/03/18"
"14","47.46","21.1848422","297.603604","2010/03/18"
"24","99.96","36.1792695","508.335741","2010/03/19"
"23","95.73","34.6717999","487.155085","2010/03/19"
"22","91.39","33.1643304","465.974429","2010/03/19"
"21","86.84","31.6568608","444.793773","2010/03/19"
"20","82.08","30.1493912","423.613117","2010/03/19"
"19","77.08","28.6419217","402.432461","2010/03/19"
"18","71.81","27.1344521","381.251806","2010/03/19"
"17","66.26","25.6269825","360.071150","2010/03/19"
"16","60.38","24.1195130","338.890494","2010/03/19"
"15","54.13","22.6120434","317.709838","2010/03/19"
"14","47.46","21.1045739","296.529182","2010/03/19"
"24","99.96","36.0548482","506.678421","2010/03/22"
"23","95.73","34.5525629","485.566821","2010/03/22"
"22","91.39","33.0502775","464.455220","2010/03/22"
"21","86.84","31.5479922","443.343619","2010/03/22"
"20","82.08","30.0457068","422.232018","2010/03/22"
"19","77.08","28.5434215","401.120417","2010/03/22"
"18","71.81","27.0411361","380.008816","2010/03/22"
"17","66.26","25.5388508","358.897215","2010/03/22"
"16","60.38","24.0365655","337.785614","2010/03/22"
"15","54.13","22.5342801","316.674013","2010/03/22"
"14","47.46","21.0319948","295.562412","2010/03/22"
"24","99.96","35.4938271","498.883842","2010/03/23"
"23","95.73","34.0149176","478.097015","2010/03/23"
"22","91.39","32.5360082","457.310189","2010/03/23"
"21","86.84","31.0570987","436.523362","2010/03/23"
