currency_id,currency_name,currency_code,date,buying,selling
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-12,114.6652,119.552
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-12,149.7872,151.285
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-12,135.394,136.748
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-12,11.0602,11.1708
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-12,10.6196,10.7258
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-12,16.9523,17.1218
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-12,0.6422,0.6615
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-12,1.365,1.3786
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-12,0.8854,0.912
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-12,0.8021,0.8101
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-12,84.4057,85.2498
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-12,76.2638,77.0265
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-12,30.5554,30.8609
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-12,31.2159,31.528
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-12,126.4986,127.7636
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-12,159.6828,161.2796
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-12,6.3993,6.4633
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-12,16.1087,16.2698
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-12,375.2189,378.9711
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-13,111.384,120.0021
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-13,145.3784,146.8322
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-13,130.5179,131.8231
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-13,10.7718,10.8796
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-13,10.2921,10.395
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-13,16.4521,16.6166
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-13,0.6238,0.6425
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-13,1.3264,1.3397
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-13,0.8614,0.8873
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-13,0.7826,0.7905
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-13,81.9904,82.8103
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-13,74.4268,75.1711
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-13,29.6802,29.977
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-13,30.3242,30.6275
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-13,122.7674,123.9951
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2024-09-13,149.9786,151.4783
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2024-09-13,6.2133,6.2754
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2024-09-13,15.6403,15.7967
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2024-09-13,364.7046,368.3517
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2024-09-16,111.4933,120.1561
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2024-09-16,146.491,147.956
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2024-09-16,131.7265,133.0438
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2024-09-16,10.9132,11.0223
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2024-09-16,10.4622,10.5668
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2024-09-16,16.5703,16.736
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2024-09-16,0.6244,0.6432
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2024-09-16,1.3285,1.3418
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2024-09-16,0.861,0.8868
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2024-09-16,0.7935,0.8015
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2024-09-16,82.1072,82.9282
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2024-09-16,74.8566,75.6052
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2024-09-16,29.707,30.0041
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2024-09-16,30.354,30.6575
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2024-09-16,123.6684,124.9051
