region,region0,year,value,pop_2013,cpi,source
Addis Ababa,Addis Ababa City Administration,2000,168450000,3773999,,mof
Afar,Afar Region,2000,484570000,1989997,,mof
Amhara,Amhara Region,2000,3432940000,22535997,,mof
Benshangul Gumuz,Benshangul-Gumuz Region,2000,260950000,1187997,,mof
Dire Dawa,Dire Dawa Administration Council,2000,201850000,521000,,mof
Gambela,Gambella People's Region,2000,186020000,492002,,mof
Harari,Harari People  Region,2000,135720000,270000,,mof
Oromia,Oromiya  Region,2000,4705290000,39075002,,mof
SNNP,"Southern Nations, Nationalities & Peoples Region",2000,2697270000,21021000,,mof
Somalia,Somale  Region,2000,1004150000,6355003,,mof
Tigray,Tigray Region,2000,984010000,5641005,,mof
Addis Ababa,Addis Ababa City Administration,2001,141450000,3773999,,mof
Afar,Afar Region,2001,545530000,1989997,,mof
Amhara,Amhara Region,2001,4326760000,22535997,,mof
Benshangul Gumuz,Benshangul-Gumuz Region,2001,301450000,1187997,,mof
Dire Dawa,Dire Dawa Administration Council,2001,204940000,521000,,mof
Gambela,Gambella People's Region,2001,210440000,492002,,mof
Harari,Harari People  Region,2001,141600000,270000,,mof
Oromia,Oromiya  Region,2001,5774320000,39075002,,mof
SNNP,"Southern Nations, Nationalities & Peoples Region",2001,3405090000,21021000,,mof
Somalia,Somale  Region,2001,1211100000,6355003,,mof
Tigray,Tigray Region,2001,1175590000,5641005,,mof
Addis Ababa,Addis Ababa City Administration,2002,113870000,3773999,,mof
Afar,Afar Region,2002,688390000,1989997,,mof
Amhara,Amhara Region,2002,4868010000,22535997,,mof
Benshangul Gumuz,Benshangul-Gumuz Region,2002,408200000,1187997,,mof
Dire Dawa,Dire Dawa Administration Council,2002,206090000,521000,,mof
Gambela,Gambella People's Region,2002,323620000,492002,,mof
Harari,Harari People  Region,2002,183410000,270000,,mof
Oromia,Oromiya  Region,2002,6790930000,39075002,,mof
SNNP,"Southern Nations, Nationalities & Peoples Region",2002,4155520000,21021000,,mof
Somalia,Somale  Region,2002,1722750000,6355003,,mof
Tigray,Tigray Region,2002,1472170000,5641005,,mof
Addis Ababa,Addis Ababa City Administration,2003,59500000,3773999,,mof
Afar,Afar Region,2003,804925976,1989997,,mof
Amhara,Amhara Region,2003,5622401905,22535997,,mof
Benshangul Gumuz,Benshangul-Gumuz Region,2003,472351495,1187997,,mof
Dire Dawa,Dire Dawa Administration Council,2003,243406016,521000,,mof
Gambela,Gambella People's Region,2003,378361102,492002,,mof
Harari,Harari People  Region,2003,214485918,270000,,mof
Oromia,Oromiya  Region,2003,7839548028,39075002,,mof
SNNP,"Southern Nations, Nationalities & Peoples Region",2003,4795789984,21021000,,mof
Somalia,Somale  Region,2003,2031584372,6355003,,mof
Tigray,Tigray Region,2003,1696595204,5641005,,mof
Addis Ababa,Addis Ababa City Government,2004,93462000,3773999,,mof
Afar,Afar National Regional State,2004,1045418149,1989997,,mof
Amhara,Amhara National Regional State,2004,7302278400,22535997,,mof
Benshangul Gumuz,Benshangul-Gumuz National Regional State,2004,613479025,1187997,,mof
Dire Dawa,Dire Dawa Administration,2004,316129472,521000,,mof
Gambela,Gambella Peoples National Regional State,2004,491408863,492002,,mof
Harari,Harari People  National Regional State,2004,278569361,270000,,mof
