region,value
The State of Tigray,18979846741
The State of Afar,9505661220
The State of Amhara,67987510714
The State of Oromia,108465260148
The State of Somalia,31412748005
The State of Benshangul/Gumuz,5760052991
The State of the Gambela Peoples,4186268021
The State of the Harari People,2392153155
Dire Dawa Administration,2769861548
The State of Sidama,12653231161
The State of Southern West Ethiopia Peoples,9820418214
The State of South Ethiopia,22127416681
The State of  Central Ethiopia,18696565446
