"region","variable","residence","Unit","Date","Value"
"Ethiopia","Population, Both Sexes","Total","Persons","2007","73750932"
"Addis Ababa","Population, Both Sexes","Total","Persons","2007","2739551"
"Akaki Kaliti","Population, Both Sexes","Total","Persons","2007","181270"
"Nefas Silk-Lafto","Population, Both Sexes","Total","Persons","2007","316283"
"Kolfe Keraniyo","Population, Both Sexes","Total","Persons","2007","428895"
"Gulele","Population, Both Sexes","Total","Persons","2007","267624"
"Lideta","Population, Both Sexes","Total","Persons","2007","201713"
"Kirkos","Population, Both Sexes","Total","Persons","2007","221234"
"Arada","Population, Both Sexes","Total","Persons","2007","211501"
"Addis Ketema","Population, Both Sexes","Total","Persons","2007","255372"
"Yeka","Population, Both Sexes","Total","Persons","2007","346664"
"Bole","Population, Both Sexes","Total","Persons","2007","308995"
"Afar-Region","Population, Both Sexes","Total","Persons","2007","1390273"
"Zone 1","Population, Both Sexes","Total","Persons","2007","410790"
"Dubti-Wereda","Population, Both Sexes","Total","Persons","2007","65342"
"Elidar-Wereda","Population, Both Sexes","Total","Persons","2007","58087"
"Asayita-Wereda","Population, Both Sexes","Total","Persons","2007","50803"
"Afambo-Wereda","Population, Both Sexes","Total","Persons","2007","24153"
"Mile-Wereda","Population, Both Sexes","Total","Persons","2007","90673"
"Chifra-Wereda","Population, Both Sexes","Total","Persons","2007","91080"
"Kori Wereda","Population, Both Sexes","Total","Persons","2007","30652"
"Zone 2","Population, Both Sexes","Total","Persons","2007","350111"
"Erebti-Wereda","Population, Both Sexes","Total","Persons","2007","34801"
"Kunoba-Wereda","Population, Both Sexes","Total","Persons","2007","54198"
"Abala-Wereda","Population, Both Sexes","Total","Persons","2007","37963"
"Megale-Wereda","Population, Both Sexes","Total","Persons","2007","28113"
"Berahile-Wereda","Population, Both Sexes","Total","Persons","2007","78881"
"Dalol-Wereda","Population, Both Sexes","Total","Persons","2007","83930"
"Afdera-Wereda","Population, Both Sexes","Total","Persons","2007","32225"
"Zone 3","Population, Both Sexes","Total","Persons","2007","198751"
"Amibara-Wereda","Population, Both Sexes","Total","Persons","2007","63378"
"Awash Fentale-Wereda","Population, Both Sexes","Total","Persons","2007","29780"
"Gewane-Wereda","Population, Both Sexes","Total","Persons","2007","31318"
"Dulacha-Wereda","Population, Both Sexes","Total","Persons","2007","20687"
"Bure Mudayitu-Wereda","Population, Both Sexes","Total","Persons","2007","31794"
"Argoba Special-Wereda (Afar-Region)","Population, Both Sexes","Total","Persons","2007","21794"
"Zone 4","Population, Both Sexes","Total","Persons","2007","246822"
"Awra-Wereda","Population, Both Sexes","Total","Persons","2007","34604"
"Ewa Wereda","Population, Both Sexes","Total","Persons","2007","47203"
"Teru-Wereda","Population, Both Sexes","Total","Persons","2007","67753"
"Yalo-Wereda","Population, Both Sexes","Total","Persons","2007","47468"
"Golina-Wereda","Population, Both Sexes","Total","Persons","2007","49794"
"Zone 5","Population, Both Sexes","Total","Persons","2007","183799"
"Telalak-Wereda","Population, Both Sexes","Total","Persons","2007","37970"
"Sumu Robi-Wereda","Population, Both Sexes","Total","Persons","2007","32023"
"Dawe Wereda","Population, Both Sexes","Total","Persons","2007","42397"
"Dalifage-Wereda","Population, Both Sexes","Total","Persons","2007","36154"
"Hadele Ele -Wereda","Population, Both Sexes","Total","Persons","2007","35255"
"Amhara-Region","Population, Both Sexes","Total","Persons","2007","17221976"
"North Gondar-Zone","Population, Both Sexes","Total","Persons","2007","2929628"
"Adi Arkay-Wereda","Population, Both Sexes","Total","Persons","2007","93763"
"Beyeda-Wereda","Population, Both Sexes","Total","Persons","2007","97492"
"Janamora-Wereda","Population, Both Sexes","Total","Persons","2007","167757"
"Debark-Wereda","Population, Both Sexes","Total","Persons","2007","159193"
"Dabat-Wereda","Population, Both Sexes","Total","Persons","2007","145509"
"Merab Armachoho-Wereda","Population, Both Sexes","Total","Persons","2007","31730"
"Tegede-Wereda","Population, Both Sexes","Total","Persons","2007","73898"
"Lay Armachoho-Wereda","Population, Both Sexes","Total","Persons","2007","157836"
"Wegera-Wereda","Population, Both Sexes","Total","Persons","2007","220566"
"Gondar Zuriya-Wereda","Population, Both Sexes","Total","Persons","2007","191394"
"Dembia-Wereda","Population, Both Sexes","Total","Persons","2007","271053"
"Chilga-Wereda","Population, Both Sexes","Total","Persons","2007","221462"
"Metema-Wereda","Population, Both Sexes","Total","Persons","2007","110252"
"Quara-Wereda","Population, Both Sexes","Total","Persons","2007","94106"
"Alefa-Wereda","Population, Both Sexes","Total","Persons","2007","170491"
"Merab Belsa-Wereda","Population, Both Sexes","Total","Persons","2007","142791"
"Misrak Belesa-Wereda","Population, Both Sexes","Total","Persons","2007","97838"
"Tselemet-Wereda","Population, Both Sexes","Total","Persons","2007","57241"
"Tach Armachoho-Wereda","Population, Both Sexes","Total","Persons","2007","89115"
"Takusa-Wereda","Population, Both Sexes","Total","Persons","2007","129097"
"South Gondar-Zone","Population, Both Sexes","Total","Persons","2007","2051738"
"Ebinat-Wereda","Population, Both Sexes","Total","Persons","2007","220177"
"Libokemkem-Wereda","Population, Both Sexes","Total","Persons","2007","198435"
"Fogera-Wereda","Population, Both Sexes","Total","Persons","2007","228449"
"Farta-Wereda","Population, Both Sexes","Total","Persons","2007","232181"
"Lay Gayint-Wereda","Population, Both Sexes","Total","Persons","2007","206499"
"Tach Gayint-Wereda","Population, Both Sexes","Total","Persons","2007","101956"
"Simada-Wereda","Population, Both Sexes","Total","Persons","2007","228271"
"Misrak Este-Wereda","Population, Both Sexes","Total","Persons","2007","210825"
"Dera-Wereda","Population, Both Sexes","Total","Persons","2007","248464"
"Merab Este-Wereda","Population, Both Sexes","Total","Persons","2007","120885"
"North Wello-Zone","Population, Both Sexes","Total","Persons","2007","1500303"
"Bugna-Wereda","Population, Both Sexes","Total","Persons","2007","75486"
"Kobo-Wereda","Population, Both Sexes","Total","Persons","2007","221958"
