region;male_2011/2019;female_2011/2019;total_2011/2019;male_2013/2021;female_2013/2021;total_2013/2021;male_2006/2014;female_2006/2014;total_2006/2014
tigray;2686002;2757999;5444001;2785001;2856004;5641005;2444000;2516003;4960003
afar;1036998;864000;1900998;1082995;907002;1989997;923000;755000;1678000
amhara;10943004;10901007;21844011;11290994;11245003;22535997;10025991;9992997;20018988
oromia;18681998;18584999;37266997;19582005;19492997;39075002;16472996;16342999;32815995
somali;3238000;2812996;6050996;3382001;2973002;6355003;2887001;2420001;5307002
"benshangul gumuz";571000;554999;1125999;602999;584998;1187997;524000;509999;1033999
SNNP;9951003;10135996;20086999;10412000;10609000;21021000;8843999;8993006;17837005
gambela;241002;221998;463000;256002;236000;492002;213001;196001;409002
harari;130000;128000;258000;136000;134000;270000;117000;115000;232000
"addis ababa";1703000;1900000;3603000;1781999;1992000;3773999;1551000;1722001;3273001
"dire dawa";247000;246000;493000;263000;258000;521000;214000;213000;427000
sidama;1928700;1898498;3827198;2009190;1978267;3987457;1733850;1704202;3438052
special;70999;59000;129999;72999;62000;134999;63000;53001;116001
ethiopia;49500006;49166994;98667000;51647995;51350006;102998001;47364009;46986992;94351001
